gene_name number_of_transposon_per_gene number_of_read_per_gene
SDH6 6 26
ARO10 24 332
YRA1 2 1
YDR381C-A 4 3
RPP2B 6 30
NKP1 21 174
ATO3 18 81
EFT2 5 11
MUS81 37 256
YDR387C 19 152
RVS167 15 101
SAC7 29 181
UBA2 3 13
YDR391C 8 55
SPT3 7 51
SHE9 32 276
RPT3 1 0
SXM1 18 71
YDR396W 3 4
NCB2 2 1
UTP5 7 42
HPT1 11 62
URH1 27 257
YDR401W 15 88
DIT2 23 175
DIT1 35 275
RPB7 1 0
MRP20 24 186
PDR15 138 1622
YDR406W-A 4 5
TRS120 6 41
ADE8 0 0
SIZ1 24 166
STE14 13 151
DFM1 15 114
RRP17 4 9
YDR413C 3 4
ERD1 28 220
YDR415C 10 30
SYF1 19 99
YDR417C 2 1
RPL12B 2 1
RAD30 19 151
HKR1 41 329
ARO80 35 323
SIP1 23 189
CAD1 23 144
DYN2 7 6
SNX41 18 92
YDR426C 4 12
