gene_name number_of_transposon_per_gene number_of_read_per_gene
FAD1 3 2
MTF2 36 706
PRP11 6 117
SIR2 89 2489
YDL041W 29 433
NAT1 43 548
PRM7 32 348
BSC1 17 268
PUS9 29 572
GPR1 33 598
YDL034W 4 23
SLM3 104 3480
YDL032W 12 77
DBP10 8 42
PRP9 9 157
ARP2 2 2
MPS1 10 232
YDL027C 34 880
YDL026W 16 180
RTK1 41 738
YDL025W-A 1 0
DIA3 70 1944
YDL022C-A 25 510
YDL023C 14 124
GPD1 55 1768
GPM2 94 3946
RPN4 86 1831
OSH2 155 7467
ERP3 25 985
CDC7 12 112
YDL016C 22 246
TSC13 1 0
NOP1 1 0
SLX5 19 79
YDL012C 53 1575
YDL011C 43 846
GRX6 64 1201
YDL009C 27 124
APC11 13 331
YDL007C-A 28 843
RPT2 4 8
PTC1 2 1
MED2 61 640
ATP16 18 290
MCD1 16 134
NHP10 83 2886
RMD1 269 15867
NTH1 352 15095
YRB1 3 3
RCR2 131 3992
YDR003W-A 21 210
RAD57 117 1885
MAF1 30 865
SOK1 114 2016
TRP1 108 2283
YDR008C 106 2170
GAL3 137 4232
YDR010C 144 9541
SNQ2 196 5902
RPL4B 30 900
PSF1 2 1
RAD61 73 1121
HED1 17 557
YDR015C 4 55
DAD1 3 6
KCS1 95 1772
YDR018C 124 2658
GCV1 97 2863
DAS2 61 2957
FAL1 0 0
ATG31 20 555
SES1 5 50
FYV1 81 1223
RPS11A 13 188
NSI1 42 1035
VPS54 4 16
REG1 37 1270
YDR029W 14 138
RAD28 65 2789
MIX14 12 145
PST2 34 490
MRH1 17 357
LYS14 24 464
YDR034C-A 7 32
YDR034W-B 10 49
ARO3 37 645
EHD3 51 1766
KRS1 2 1
ENA5 26 306
ENA2 0 0
ENA1 14 658
RSM10 9 235
YDR042C 9 30
NRG1 14 121
HEM13 0 0
RPC11 1 0
BAP3 48 1147
HEM12 1 0
YDR048C 19 293
VMS1 4 19
TPI1 1 0
DET1 42 2021
DBF4 0 0
YDR053W 0 0
CDC34 10 80
PST1 40 839
YDR056C 25 436
YOS9 32 324
TGL2 21 347
UBC5 10 200
MAK21 13 419
YDR061W 44 1045
LCB2 1 0
AIM7 7 167
RPS13 2 1
RRG1 13 238
RTR2 15 333
OCA6 18 295
DOS2 21 93
DOA4 1 0
FMP16 4 10
PAA1 17 340
IPT1 62 1884
SNF11 26 436
TPS2 7 66
PPH3 16 204
RAD55 42 1130
SED1 14 43
SHU2 11 93
PET100 10 319
TFB5 0 0
VPS41 3 2
PDC2 2 4
STN1 5 7
RRP8 16 160
TVP23 11 150
AFR1 25 330
SSS1 1 0
RRP1 0 0
SLU7 8 136
YDR089W 55 1644
YDR090C 29 696
RLI1 0 0
UBC13 20 384
DNF2 247 12544
YDR094W 61 4175
YDR095C 39 1043
GIS1 22 199
MSH6 48 951
GRX3 21 324
BMH2 65 1366
TVP15 15 176
ARX1 21 512
YDR102C 25 436
STE5 26 197
SPO71 39 1198
TMS1 21 494
ARP10 23 321
TMN2 41 1399
TRS85 9 44
