gene_name number_of_transposon_per_gene number_of_read_per_gene
PEX5 32 643
MNN10 5 72
TRS23 7 107
YDR246W-A 58 1372
VHS1 17 127
YDR248C 17 289
YDR249C 36 523
YDR250C 41 1024
PAM1 25 186
BTT1 7 49
MET32 7 33
CHL4 23 130
RMD5 14 199
CTA1 80 1371
RKM4 12 46
HSP78 26 278
YAP6 46 673
SWM1 47 859
EXG2 39 383
YDR262W 10 53
DIN7 30 230
AKR1 5 24
PEX10 13 67
HEL2 30 264
CIA1 0 0
MSW1 3 4
YDR269C 5 37
CCC2 39 477
YDR271C 9 62
GLO2 13 148
DON1 17 109
YDR274C 96 2193
BSC2 18 159
PMP3 2 5
MTH1 25 394
YDR278C 20 279
RNH202 23 165
RRP45 0 0
PHM6 7 9
YDR282C 18 169
GCN2 45 470
DPP1 27 327
ZIP1 29 335
YDR286C 5 32
INM2 22 347
NSE3 2 1
RTT103 7 22
YDR290W 13 70
HRQ1 51 641
SRP101 0 0
SSD1 52 1465
DPL1 27 472
HDA2 30 177
MHR1 5 74
SUR2 4 36
ATP5 0 0
BFR2 0 0
PRO1 1 0
CFT1 1 0
GPI11 4 5
RSC3 0 0
CPR5 15 219
HNT2 15 161
YDR306C 22 308
PMT7 29 414
SRB7 0 0
GIC2 16 111
SUM1 24 406
TFB1 6 70
SSF2 40 642
PIB1 19 243
RAD34 20 287
IPK1 3 2
OMS1 25 202
HIM1 16 71
MCM21 11 36
YFT2 19 188
SWA2 20 192
DAD4 0 0
YDR320W-B 20 194
ASP1 11 130
MRPL35 2 1
TIM11 1 0
PEP7 18 257
UTP4 3 47
YCG1 2 2
YSP2 61 473
YDR327W 2 1
SKP1 0 0
PEX3 27 344
UBX5 18 136
GPI8 2 1
IRC3 4 3
RQC1 20 234
SWR1 96 1690
MSN5 19 72
YDR336W 36 516
MRPS28 3 16
YDR338C 50 927
FCF1 2 1
YDR340W 21 330
YDR341C 0 0
HXT7 2 7
HXT6 0 0
YDR344C 26 276
HXT3 45 666
SVF1 27 312
MRP1 1 0
PAL1 57 797
YPS7 18 142
ATP22 6 15
SBE2 41 436
YPQ2 20 342
TRR1 7 23
TRP4 9 37
YDR354C-A 0 0
YDR355C 0 0
SPC110 3 20
CNL1 29 146
GGA1 18 132
EAF1 20 253
OPI7 3 5
BCP1 0 0
TFC6 11 69
ESC2 20 190
SEM1 0 0
CDC40 1 0
ESF1 5 22
YDR366C 9 152
KEI1 3 3
YPR1 16 74
XRS2 41 440
DXO1 28 409
CTS2 25 307
YDR371C-A 1 0
VPS74 6 109
FRQ1 1 0
PHO92 14 105
WIP1 2 2
BCS1 3 2
ARH1 2 14
ATP17 2 2
LSM6 0 0
RGA2 51 662
SDH6 8 61
ARO10 49 431
YRA1 0 0
YDR381C-A 3 2
RPP2B 4 7
NKP1 18 61
ATO3 25 492
EFT2 0 0
MUS81 44 439
YDR387C 32 551
RVS167 18 126
SAC7 25 221
UBA2 9 294
YDR391C 13 143
SPT3 6 32
SHE9 29 148
RPT3 2 4
SXM1 13 96
YDR396W 2 1
NCB2 2 1
UTP5 12 60
HPT1 24 161
URH1 22 259
YDR401W 24 199
DIT2 35 308
DIT1 32 305
RPB7 0 0
MRP20 11 174
PDR15 179 2631
YDR406W-A 4 3
TRS120 4 8
ADE8 2 3
SIZ1 39 312
STE14 25 399
DFM1 27 593
RRP17 4 3
YDR413C 4 3
ERD1 24 189
YDR415C 20 287
SYF1 27 431
YDR417C 2 1
RPL12B 1 0
