gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR003W-A 20 93
RAD57 74 1117
MAF1 27 731
SOK1 114 1343
TRP1 86 1499
YDR008C 88 2179
GAL3 132 3944
YDR010C 110 7675
SNQ2 223 8240
RPL4B 19 305
PSF1 1 0
RAD61 60 1207
HED1 22 448
YDR015C 11 290
DAD1 2 2
KCS1 54 2235
YDR018C 100 2990
GCV1 36 620
DAS2 54 2344
FAL1 2 18
ATG31 11 72
SES1 5 52
FYV1 43 601
RPS11A 4 18
NSI1 55 2225
VPS54 6 35
REG1 31 531
YDR029W 15 80
RAD28 51 1054
MIX14 10 271
PST2 28 592
MRH1 21 421
LYS14 28 385
YDR034C-A 4 44
YDR034W-B 13 47
ARO3 28 485
EHD3 42 1063
KRS1 1 0
ENA5 21 418
ENA2 0 0
ENA1 16 685
RSM10 3 13
YDR042C 7 16
NRG1 18 370
HEM13 0 0
RPC11 0 0
BAP3 48 1804
HEM12 0 0
YDR048C 19 487
VMS1 9 23
TPI1 0 0
DET1 31 1094
DBF4 0 0
YDR053W 0 0
CDC34 3 16
PST1 42 706
YDR056C 29 448
YOS9 37 1614
TGL2 21 377
UBC5 11 97
MAK21 9 255
YDR061W 33 650
LCB2 1 0
AIM7 4 73
RPS13 0 0
RRG1 6 74
RTR2 26 854
OCA6 20 285
DOS2 18 119
DOA4 3 2
FMP16 7 15
PAA1 8 42
IPT1 50 1828
SNF11 25 296
TPS2 13 255
PPH3 18 470
RAD55 33 994
SED1 31 434
SHU2 16 465
PET100 3 19
TFB5 2 1
VPS41 0 0
PDC2 3 10
STN1 3 7
RRP8 13 209
TVP23 14 276
AFR1 28 1254
SSS1 0 0
RRP1 0 0
SLU7 10 304
YDR089W 71 3169
YDR090C 14 195
RLI1 0 0
UBC13 9 101
DNF2 211 7257
YDR094W 66 2483
YDR095C 55 1039
GIS1 27 345
MSH6 60 1010
GRX3 22 174
BMH2 43 647
TVP15 20 177
ARX1 31 288
YDR102C 21 513
STE5 40 576
