gene_name number_of_transposon_per_gene number_of_read_per_gene
YDL144C 19 336
CCT4 0 0
CRD1 13 461
BPL1 2 5
RPO21 4 7
SCM3 3 3
RGT2 78 1370
ARF2 37 610
RPL35B 22 189
RDI1 22 367
PPH21 24 324
RPL41B 4 7
SRF1 31 366
CDC53 8 31
LYS21 25 754
STF1 13 108
RPP1B 9 61
YDL129W 35 733
VCX1 28 583
PCL2 33 527
CDC48 8 30
HNT1 27 553
YDL124W 37 947
SNA4 16 233
UBP1 36 367
YDL121C 6 177
YFH1 1 0
YDL119C 9 104
YDL118W 5 126
CYK3 22 117
NUP84 7 17
IWR1 10 96
YDL114W-A 0 0
YDL114W 13 55
ATG20 28 458
TRM3 32 618
RRP42 0 0
TMA17 19 212
YDL109C 25 469
KIN28 1 0
MSS2 26 403
PHO2 16 152
NSE4 1 0
QRI7 9 125
QRI1 2 1
POL3 6 212
DUN1 16 171
GET3 14 130
BUG1 15 330
SNU23 0 0
RPN6 0 0
OPI6 8 93
PMT1 32 486
YDL094C 8 153
PMT5 32 623
SRP14 5 138
UBX3 22 646
RAM1 4 14
NUR1 16 195
ASM4 23 162
LUC7 10 60
YDL086W 28 633
YDL086C-A 20 376
YDL085C-A 6 28
NDE2 34 654
SUB2 0 0
RPS16B 15 47
RPL13A 18 115
RPP1A 5 12
THI3 46 747
MRK1 65 1250
MDH3 53 690
VAM6 34 202
RXT3 30 206
RPL31A 0 0
BRE1 31 159
YDL073W 54 844
YET3 17 292
YDL071C 52 574
BDF2 44 438
CBS1 19 190
YDL068W 12 138
COX9 4 3
IDP1 30 684
PEX19 18 307
UBC9 0 0
SYO1 21 246
YDL062W 7 42
RPS29B 7 17
TSR1 1 0
RAD59 16 98
USO1 13 119
YDL057W 17 271
MBP1 28 389
PSA1 1 0
MCH1 93 2783
PBP4 25 224
SLC1 56 1007
LHP1 75 1177
YDL050C 29 377
KNH1 107 2523
STP4 173 3943
SIT4 11 88
NPC2 28 360
MRP10 11 83
FAD1 3 9
MTF2 30 474
PRP11 0 0
SIR2 46 575
YDL041W 15 280
NAT1 30 295
PRM7 39 438
BSC1 17 166
PUS9 28 511
GPR1 46 472
YDL034W 5 22
SLM3 57 869
YDL032W 14 113
DBP10 8 35
PRP9 6 28
ARP2 0 0
MPS1 11 200
YDL027C 36 757
YDL026W 16 151
RTK1 88 2013
YDL025W-A 3 50
DIA3 83 1909
YDL022C-A 25 351
YDL023C 33 462
GPD1 86 1759
GPM2 88 1369
RPN4 109 1254
OSH2 161 3413
ERP3 30 526
CDC7 10 105
YDL016C 15 209
TSC13 1 0
NOP1 0 0
SLX5 85 612
YDL012C 51 1195
YDL011C 38 657
GRX6 69 1200
YDL009C 36 263
APC11 19 458
YDL007C-A 44 783
RPT2 3 2
PTC1 71 651
MED2 125 1210
ATP16 5 7
MCD1 7 212
NHP10 84 982
RMD1 193 4395
NTH1 280 6434
YRB1 3 6
RCR2 101 2591
YDR003W-A 15 89
RAD57 106 1112
MAF1 89 918
SOK1 181 2823
TRP1 131 2669
YDR008C 88 1658
GAL3 148 4178
YDR010C 102 4287
SNQ2 154 3299
RPL4B 9 73
PSF1 2 11
RAD61 56 952
HED1 17 347
YDR015C 9 161
DAD1 1 0
KCS1 54 594
YDR018C 127 3528
GCV1 61 790
DAS2 53 909
FAL1 3 10
ATG31 31 537
SES1 7 20
FYV1 60 576
RPS11A 13 83
NSI1 50 913
VPS54 26 176
REG1 33 271
YDR029W 19 153
RAD28 67 1551
MIX14 15 126
PST2 30 511
MRH1 27 353
LYS14 68 1267
YDR034C-A 8 35
YDR034W-B 10 83
ARO3 38 903
EHD3 44 735
KRS1 1 0
ENA5 7 121
ENA2 0 0
ENA1 11 194
RSM10 28 292
YDR042C 20 107
NRG1 40 486
