gene_name number_of_transposon_per_gene number_of_read_per_gene
PEX5 70 537
MNN10 32 206
TRS23 9 65
YDR246W-A 71 946
VHS1 59 416
YDR248C 37 192
YDR249C 57 388
YDR250C 64 640
PAM1 69 439
BTT1 12 44
MET32 22 139
CHL4 48 200
RMD5 31 171
CTA1 48 468
RKM4 23 88
HSP78 139 1130
YAP6 67 513
SWM1 77 742
EXG2 69 427
YDR262W 29 138
DIN7 49 259
AKR1 71 456
PEX10 33 175
HEL2 40 230
CIA1 17 50
MSW1 53 279
YDR269C 15 75
CCC2 119 871
YDR271C 29 217
GLO2 23 133
DON1 39 193
YDR274C 111 2145
BSC2 39 237
PMP3 8 45
MTH1 56 365
YDR278C 49 282
RNH202 39 285
RRP45 4 6
PHM6 14 33
YDR282C 27 159
GCN2 84 525
DPP1 57 621
ZIP1 72 382
YDR286C 20 118
INM2 28 131
NSE3 8 44
RTT103 17 59
YDR290W 29 133
HRQ1 96 573
SRP101 2 1
SSD1 96 677
DPL1 55 379
HDA2 53 289
MHR1 33 197
SUR2 22 199
ATP5 11 42
BFR2 8 85
PRO1 3 4
CFT1 4 6
GPI11 6 13
RSC3 4 5
CPR5 32 205
HNT2 30 198
YDR306C 39 338
PMT7 61 553
SRB7 3 4
GIC2 27 124
SUM1 58 328
TFB1 15 29
SSF2 45 309
PIB1 32 215
RAD34 57 332
IPK1 16 76
OMS1 35 178
HIM1 38 240
MCM21 19 64
YFT2 25 136
SWA2 51 267
DAD4 0 0
YDR320W-B 27 223
ASP1 35 188
MRPL35 41 286
TIM11 14 52
PEP7 39 236
UTP4 15 76
YCG1 8 13
YSP2 78 432
YDR327W 1 0
SKP1 2 1
PEX3 39 313
UBX5 36 227
GPI8 8 29
IRC3 61 435
RQC1 47 450
SWR1 157 1053
MSN5 50 227
YDR336W 33 202
MRPS28 31 126
YDR338C 89 866
FCF1 2 1
YDR340W 21 241
YDR341C 1 0
HXT7 5 20
HXT6 6 32
YDR344C 70 392
HXT3 87 531
SVF1 77 437
MRP1 36 286
PAL1 61 418
YPS7 68 508
ATP22 39 138
SBE2 53 282
YPQ2 47 253
TRR1 22 94
TRP4 48 348
YDR354C-A 3 21
YDR355C 2 1
SPC110 11 40
CNL1 39 264
GGA1 48 248
EAF1 79 579
OPI7 26 92
BCP1 14 44
TFC6 32 121
ESC2 53 298
SEM1 6 11
CDC40 35 170
ESF1 6 28
YDR366C 16 159
KEI1 12 28
YPR1 37 213
XRS2 62 430
DXO1 36 150
CTS2 61 318
YDR371C-A 3 8
VPS74 22 107
FRQ1 0 0
PHO92 25 164
WIP1 9 43
BCS1 74 394
ARH1 28 116
ATP17 14 39
